+-------+------------+---------------------+
| id    | time       | number              |
| 1.2.1 | 2022-02-01 |                5243 |
| 1.2.1 | 2022-03-01 |                5412 |
| 1.2.1 | 2022-04-01 |                5548 |
| 1.2.1 | 2022-05-01 |                5757 |
| 1.2.1 | 2022-06-01 |                5786 |
| 1.2.1 | 2022-07-01 |                5825 |
| 1.2.1 | 2022-08-01 |                5826 |
| 1.2.1 | 2022-09-01 |                5828 |
| 1.2.1 | 2022-10-01 |                5866 |
| 1.2.1 | 2022-11-01 |                5875 |
| 1.2.1 | 2022-12-01 |                5922 |
| 1.2.1 | 2023-01-01 |                5936 |
| 1.2.1 | 2023-02-01 |                5936 |
| 1.2.1 | 2023-03-01 |                5936 |
| 1.2.1 | 2023-04-01 |                5987 |
| 1.2.1 | 2023-05-01 |                6325 |
| 1.2.1 | 2023-06-01 |                6321 |
| 1.2.1 | 2023-07-01 |                6394 |
| 1.2.1 | 2023-08-01 |                6394 |
| 1.2.1 | 2023-09-01 |                6380 |
| 1.2.1 | 2023-10-01 |                6380 |
| 1.2.1 | 2023-11-01 |                6380 |
| 1.2.1 | 2023-12-01 |                6380 |
| 1.2.1 | 2024-01-01 |                6380 |
| 1.2.1 | 2024-02-01 |                6380 |
| 1.2.1 | 2024-03-01 |                6380 |
| 1.2.1 | 2024-04-01 |                6380 |
| 1.2.1 | 2024-05-01 |                6380 |
| 1.2.1 | 2024-06-01 |                6380 |
| 1.2.1 | 2024-07-01 |                6380 |
| 1.2.1 | 2024-08-01 |                6380 |
| 1.2.1 | 2024-09-01 |                6380 |
| 1.2.1 | 2024-10-01 |                6380 |
| 1.2.1 | 2024-11-01 |                6380 |
| 1.2.1 | 2024-12-01 |                6380 |
| 1.2.1 | 2025-01-01 |                6380 |
| 1.2.1 | 2025-02-01 |                6380 |
| 1.2.1 | 2025-03-01 |                6380 |
| 1.2.1 | 2025-04-01 |                6380 |
| 1.2.1 | 2025-05-01 |                6380 |
| 1.2.2 | 2018-10-01 |                  97 |
| 1.2.2 | 2018-11-01 |                 192 |
| 1.2.2 | 2018-12-01 |                 192 |
| 1.2.2 | 2019-01-01 |                 192 |
| 1.2.2 | 2019-02-01 |                 193 |
| 1.2.2 | 2019-03-01 |                 193 |
| 1.2.2 | 2019-04-01 |                 193 |
| 1.2.2 | 2019-05-01 |                 193 |
| 1.2.2 | 2019-06-01 |                 198 |
| 1.2.2 | 2019-07-01 |                 329 |
| 1.2.2 | 2019-08-01 |                 522 |
| 1.2.2 | 2019-09-01 |                1144 |
| 1.2.2 | 2019-10-01 |                1228 |
| 1.2.2 | 2019-11-01 |                1626 |
| 1.2.2 | 2019-12-01 |                1626 |
| 1.2.2 | 2020-01-01 |                2017 |
| 1.2.2 | 2020-02-01 |                2017 |
| 1.2.2 | 2020-03-01 |                2017 |
| 1.2.2 | 2020-04-01 |                2056 |
| 1.2.2 | 2020-05-01 |                2072 |
| 1.2.2 | 2020-06-01 |                2134 |
| 1.2.2 | 2020-07-01 |                2146 |
| 1.2.2 | 2020-08-01 |                2146 |
| 1.2.2 | 2020-09-01 |                2146 |
| 1.2.2 | 2020-10-01 |                 605 |
| 1.2.2 | 2020-11-01 |                 605 |
| 1.2.2 | 2020-12-01 |                 624 |
| 1.2.2 | 2021-01-01 |                 628 |
| 1.2.2 | 2021-02-01 |                 640 |
| 1.2.2 | 2021-03-01 |                 640 |
| 1.2.2 | 2021-04-01 |                 640 |
| 1.2.2 | 2021-05-01 |                 640 |
| 1.2.2 | 2021-06-01 |                 697 |
| 1.2.2 | 2021-07-01 |                 698 |
| 1.2.2 | 2021-08-01 |                 718 |
| 1.2.2 | 2021-09-01 |                 722 |
| 1.2.2 | 2021-10-01 |                 713 |
| 1.2.2 | 2021-11-01 |                 713 |
| 1.2.2 | 2021-12-01 |                 898 |
| 1.2.2 | 2022-01-01 |                2767 |
| 1.2.2 | 2022-02-01 |                3445 |
| 1.2.2 | 2022-03-01 |                3665 |
| 1.2.2 | 2022-04-01 |                3903 |
| 1.2.2 | 2022-05-01 |                4228 |
| 1.2.2 | 2022-06-01 |                4269 |
| 1.2.2 | 2022-07-01 |                4304 |
| 1.2.2 | 2022-08-01 |                4305 |
| 1.2.2 | 2022-09-01 |                4307 |
| 1.2.2 | 2022-10-01 |                4388 |
| 1.2.2 | 2022-11-01 |                4402 |
| 1.2.2 | 2022-12-01 |                4429 |
| 1.2.2 | 2023-01-01 |                4436 |
| 1.2.2 | 2023-02-01 |                4436 |
| 1.2.2 | 2023-03-01 |                4436 |
| 1.2.2 | 2023-04-01 |                4485 |
| 1.2.2 | 2023-05-01 |                4988 |
| 1.2.2 | 2023-06-01 |                4993 |
| 1.2.2 | 2023-07-01 |                5083 |
| 1.2.2 | 2023-08-01 |                5083 |
| 1.2.2 | 2023-09-01 |                5068 |
| 1.2.2 | 2023-10-01 |                5068 |
| 1.2.2 | 2023-11-01 |                5068 |
| 1.2.2 | 2023-12-01 |                5068 |
| 1.2.2 | 2024-01-01 |                5068 |
| 1.2.2 | 2024-02-01 |                5068 |
| 1.2.2 | 2024-03-01 |                5068 |
| 1.2.2 | 2024-04-01 |                5068 |
| 1.2.2 | 2024-05-01 |                5068 |
| 1.2.2 | 2024-06-01 |                5068 |
| 1.2.2 | 2024-07-01 |                5068 |
| 1.2.2 | 2024-08-01 |                5068 |
| 1.2.2 | 2024-09-01 |                5068 |
| 1.2.2 | 2024-10-01 |                5068 |
| 1.2.2 | 2024-11-01 |                5068 |
| 1.2.2 | 2024-12-01 |                5068 |
| 1.2.2 | 2025-01-01 |                5068 |
| 1.2.2 | 2025-02-01 |                5068 |
| 1.2.2 | 2025-03-01 |                5068 |
| 1.2.2 | 2025-04-01 |                5068 |
| 1.2.2 | 2025-05-01 |                5068 |
| 1.2.4 | 2018-10-01 |                 8.2 |
| 1.2.4 | 2018-11-01 |                  15 |
| 1.2.4 | 2018-12-01 |                  15 |
| 1.2.4 | 2019-01-01 |                  15 |
| 1.2.4 | 2019-02-01 |                14.9 |
| 1.2.4 | 2019-03-01 |                14.9 |
| 1.2.4 | 2019-04-01 |                14.9 |
| 1.2.4 | 2019-05-01 |                14.9 |
| 1.2.4 | 2019-06-01 |                14.3 |
| 1.2.4 | 2019-07-01 |                13.3 |
| 1.2.4 | 2019-08-01 |                12.8 |
| 1.2.4 | 2019-09-01 |                13.3 |
| 1.2.4 | 2019-10-01 |                13.6 |
| 1.2.4 | 2019-11-01 |                13.3 |
| 1.2.4 | 2019-12-01 |                13.3 |
| 1.2.4 | 2020-01-01 |                12.9 |
| 1.2.4 | 2020-02-01 |                12.9 |
| 1.2.4 | 2020-03-01 |                13.7 |
| 1.2.4 | 2020-04-01 |                13.6 |
| 1.2.4 | 2020-05-01 |                13.8 |
| 1.2.4 | 2020-06-01 |                14.2 |
| 1.2.4 | 2020-07-01 |                14.2 |
| 1.2.4 | 2020-08-01 |                14.2 |
| 1.2.4 | 2020-09-01 |                14.2 |
| 1.2.4 | 2020-10-01 |                  18 |
| 1.2.4 | 2020-11-01 |                  18 |
| 1.2.4 | 2020-12-01 |                  18 |
| 1.2.4 | 2021-01-01 |                18.2 |
| 1.2.4 | 2021-02-01 |                18.2 |
| 1.2.4 | 2021-03-01 |                18.2 |
| 1.2.4 | 2021-04-01 |                18.2 |
| 1.2.4 | 2021-05-01 |                18.2 |
| 1.2.4 | 2021-06-01 |                18.4 |
| 1.2.4 | 2021-07-01 |                18.3 |
| 1.2.4 | 2021-08-01 |                18.2 |
| 1.2.4 | 2021-09-01 |                  18 |
| 1.2.4 | 2021-10-01 |                  18 |
| 1.2.4 | 2021-11-01 |                  18 |
| 1.2.4 | 2021-12-01 |                17.4 |
| 1.2.4 | 2022-01-01 |                17.3 |
| 1.2.4 | 2022-02-01 |                15.4 |
| 1.2.4 | 2022-03-01 |                  15 |
| 1.2.4 | 2022-04-01 |                14.7 |
| 1.2.4 | 2022-05-01 |                14.5 |
| 1.2.4 | 2022-06-01 |                14.5 |
| 1.2.4 | 2022-07-01 |                14.5 |
| 1.2.4 | 2022-08-01 |                14.5 |
| 1.2.4 | 2022-09-01 |                14.5 |
| 1.2.4 | 2022-10-01 |                14.4 |
| 1.2.4 | 2022-11-01 |                14.4 |
| 1.2.4 | 2022-12-01 |                14.4 |
| 1.2.4 | 2023-01-01 |                14.4 |
| 1.2.4 | 2023-02-01 |                14.4 |
| 1.2.4 | 2023-03-01 |                14.4 |
| 1.2.4 | 2023-04-01 |                14.4 |
| 1.2.4 | 2023-05-01 |                14.2 |
| 1.2.4 | 2023-06-01 |                14.2 |
| 1.2.4 | 2023-07-01 |                14.2 |
| 1.2.4 | 2023-08-01 |                14.2 |
| 1.2.4 | 2023-09-01 |                14.2 |
| 1.2.4 | 2023-10-01 |                14.2 |
| 1.2.4 | 2023-11-01 |                14.2 |
| 1.2.4 | 2023-12-01 |                14.2 |
| 1.2.4 | 2024-01-01 |                14.2 |
| 1.2.4 | 2024-02-01 |                14.2 |
| 1.2.4 | 2024-03-01 |                14.2 |
| 1.2.4 | 2024-04-01 |                14.2 |
| 1.2.4 | 2024-05-01 |                14.2 |
| 1.2.4 | 2024-06-01 |                14.2 |
| 1.2.4 | 2024-07-01 |                14.2 |
| 1.2.4 | 2024-08-01 |                14.2 |
| 1.2.4 | 2024-09-01 |                14.2 |
| 1.2.4 | 2024-10-01 |                14.2 |
| 1.2.4 | 2024-11-01 |                14.2 |
| 1.2.4 | 2024-12-01 |                14.2 |
| 1.2.4 | 2025-01-01 |                14.2 |
| 1.2.4 | 2025-02-01 |                14.2 |
